person_id,gender,audio_vocab_01,audio_vocab_02,audio_vocab_03,audio_vocab_04,audio_vocab_05,audio_vocab_06,ctest_01,ctest_02,ctest_03,ctest_04,ctest_05,ctest_06,dictation_01,dictation_02,dictation_03,dictation_04,dictation_05,dictation_06,elicited_speech_01,elicited_speech_02,elicited_speech_03,elicited_speech_04,elicited_speech_05,elicited_speech_06,text_vocab_01,text_vocab_02,text_vocab_03,text_vocab_04,text_vocab_05,text_vocab_06,text_vocab_07,elicited_speech_07,dictation_07,audio_vocab_07,ctest_07
1,MALE,1.544829793,1.633722307,0.470119975,3.048358341,1.633722307,3.048358341,0.904456622,2.197225577,1.386294861,1.673977066,1.767662606,0.81093054,5.091636431,5.091636431,-3.672933279,5.091636431,-16.11809545,-11.16225429,1.832805421,1.065389424,2.391192726,2.272622407,2.510588326,1.687498427,2.385737626,3.684608418,2.316372384,1.966991234,2.238060436,2.128801336,0.685219963,NA,NA,NA,NA
2,MALE,3.048358341,3.10665221,3.048358341,3.048358341,1.626950406,1.364739504,Inf,Inf,Inf,2.140067112,1.69167665,Inf,5.091636431,5.091636431,0.653089822,1.206475306,-14.14123988,5.091636431,Inf,2.263773022,1.123351465,2.872400826,3.378051801,2.829844523,3.799801385,2.431619572,3.684608418,1.967646531,3.741451631,3.799801385,1.776867339,3.227216346,NA,NA,NA
3,FEMALE,1.633722307,1.626950406,1.07447419,1.626950406,1.07447419,3.10665221,0.753772115,1.386294861,1.87180293,0.526093367,1.648659242,0.435318325,5.091636431,-9.019598905,-1.497215173,5.091636431,-1.979034737,1.485037431,1.326391149,1.096353329,1.359430833,1.650074084,0.90334851,1.042073457,0.539484019,0.216683692,1.650158788,0.29198594,1.11583226,3.741451631,0.621127586,NA,NA,NA,NA
4,FEMALE,3.048358341,1.633722307,1.07447419,1.364739504,1.544829793,-0.027409727,0.223143778,2.00E-07,-0.068992677,1.223775873,2.639058824,-0.82667843,-6.352820221,5.091636431,5.091636431,-9.114920086,5.091636431,-0.171517902,0.701248944,1.790326116,0.935746326,1.523156555,1.414345271,-16.11809545,-1.361047084,1.967646531,3.684608418,1.147316366,1.147316366,0.667137422,2.427879197,NA,NA,NA,NA
5,MALE,-1.662705075,0.611731844,-0.765065811,-4.595119749,3.048358341,1.07447419,0.538996771,-0.993251637,-0.241161878,-0.798507549,Inf,0.559616061,-5.512892594,-16.11809545,-2.472849225,-10.10924166,-16.11809545,-16.11809545,1.313009922,1.466567618,0.972977821,1.005042942,0.169004091,1.536009049,2.418456873,-2.144395644,3.778658582,-0.139141719,2.427879197,1.639134592,NA,NA,-13.33927467,NA,NA
6,OTHER,0.11226734,-1.662705075,1.633722307,-0.027409727,3.10665221,1.626950406,0.419854098,0.090971989,Inf,1.335001549,1.558145196,0.530628523,-16.11809545,5.091636431,-6.481836435,5.091636431,5.091636431,-5.029065314,1.94064032,1.290634086,0.954353672,1.061995479,-16.11809545,2.074750123,2.408080467,1.650158788,1.059389446,3.684608418,1.387317025,1.650158788,NA,NA,-4.126054248,NA,NA
7,MALE,0.611731844,-0.66158081,-2.232553208,0.11226734,0.611731844,1.626950406,-0.074107781,0.387765779,1.466337602,0.313657797,0.336472475,-0.074107781,5.091636431,-16.11809545,5.091636431,-16.11809545,-16.11809545,-3.688257603,0.202449691,0.618531181,0.885990388,1.389290229,0.482280237,-0.742249947,2.418456873,1.150654479,-1.960444862,1.650158788,1.639083193,-0.637049357,NA,NA,NA,1.626950406,NA
8,MALE,3.048358341,3.10665221,1.544829793,1.364739504,1.633722307,3.048358341,2.014903869,1.223775873,1.519826314,1.386294861,1.704748741,1.049822512,5.091636431,5.091636431,5.091636431,5.091636431,0.995751575,-2.297624728,1.987412608,0.885803041,1.126954238,2.035603073,2.34042053,2.337021732,3.684608418,3.778658582,3.799801385,2.371624023,0.685219963,3.80666711,NA,NA,NA,3.048358341,NA
9,FEMALE,1.633722307,3.048358341,3.048358341,3.10665221,1.633722307,1.544829793,2.197225577,0.367725025,Inf,1.481605082,Inf,Inf,5.091636431,5.091636431,5.091636431,5.091636431,1.212458262,-3.310746912,1.530398433,1.744787465,1.561976938,1.835788426,1.886755832,1.692148712,3.741451631,2.418456873,3.778658582,2.371624023,3.799801385,2.238060436,NA,NA,NA,3.10665221,NA
10,FEMALE,1.626950406,-1.347429416,0.11226734,-0.027409727,3.048358341,0.11226734,1.029619796,2.351376404,0.0512935,2.036882798,0.45198538,-1.185623536,-0.40791847,-6.626700483,3.021438113,5.091636431,-16.11809545,-2.401376072,1.551736518,1.751803838,1.008547999,3.302625657,2.577596462,1.05459482,0.246330822,1.639134592,1.506042022,-0.139141719,2.427879197,2.408080467,NA,NA,NA,-0.794297996,NA
11,MALE,3.10665221,-0.222130063,3.048358341,-0.794297996,1.014477981,1.014477981,2.036882798,0.462623782,1.427116873,0.89794194,2.590268597,1.580450964,5.091636431,-16.11809545,-7.723758478,1.258705701,5.091636431,-1.593073282,2.271392938,1.713728276,1.180991852,1.529757489,1.25566909,-16.11809545,1.387742666,0.489480348,1.506042022,0.922986942,2.238060436,3.799801385,NA,NA,NA,3.048358341,NA
12,MALE,1.07447419,1.626950406,-0.027409727,1.07447419,1.544829793,1.364739504,1.25276342,-0.060624427,0.117783249,0.310155165,1.306252123,Inf,5.091636431,5.091636431,-9.171015553,0.330742819,-16.11809545,-13.8296084,3.213513472,2.222544655,Inf,2.480837034,1.494052941,1.092048652,1.776867339,2.418456873,0.58627447,-0.044966424,0.158535646,-1.370773255,NA,NA,-11.00609116,NA,NA
13,FEMALE,3.048358341,3.10665221,3.10665221,3.048358341,3.10665221,3.10665221,2.140067112,2.564950764,Inf,Inf,Inf,Inf,0.302173605,5.091636431,5.091636431,5.091636431,5.091636431,5.091636431,Inf,3.439578735,6.031415063,Inf,Inf,Inf,3.684608418,3.799801385,2.316372384,3.799801385,3.684608418,3.741451631,NA,NA,5.091636431,NA,NA
14,MALE,1.633722307,3.048358341,3.10665221,3.048358341,1.544829793,3.10665221,1.276293925,2.602691139,2.341806949,Inf,Inf,1.386294861,5.091636431,2.419568755,0.579710611,5.091636431,1.443886203,5.091636431,2.882718992,3.898441504,2.748120749,3.179304107,2.83384679,1.992403129,2.128801336,2.408080467,1.776867339,2.316372384,2.431619572,3.799801385,NA,NA,NA,0.844005907,NA
15,FEMALE,0.11226734,0.611731844,-1.662705075,-1.662705075,1.07447419,0.11226734,-0.162518746,0.523248414,-0.071458771,0.762140367,-1.550597291,0.182321775,-16.11809545,5.091636431,-7.816170815,-16.11809545,-5.133212305,-7.943037605,0.508298385,0.696149784,0.84427336,0.937921974,1.29780404,0.786034953,0.246330822,2.371624023,1.639134592,2.418456873,2.418456873,2.316372384,NA,NA,NA,NA,-0.405464941
16,FEMALE,3.10665221,1.626950406,1.014477981,-0.794297996,1.633722307,-0.66158081,Inf,-0.133531204,1.791760168,0.798508017,1.098612689,0.944461966,5.091636431,5.091636431,5.091636431,-5.291967319,5.091636431,5.091636431,0.289597871,0.556429987,0.835553555,-0.316912462,0.30964195,0.379839768,3.778658582,1.043927569,1.553963508,-0.896180888,-0.559309093,0.146949643,NA,NA,NA,3.048358341,NA
